asset_id,subject_id,session_date,probe,n_units,mean_OSI,median_OSI,std_OSI,q25_OSI,q75_OSI,mean_DSI,median_DSI,std_DSI,q25_DSI,q75_DSI,n_tuned
425e5654-6a0b-4995-abe1-077fb886d138,sub-820454,ecephys-82,ProbeE,210,0.3142279900901185,0.2942849471708988,0.15786554199746036,0.20691899561812122,0.4289165949059157,0.313903946819124,0.31195500424694356,0.138100706091519,0.21880243495475113,0.4017059668565333,160
425e5654-6a0b-4995-abe1-077fb886d138,sub-820454,ecephys-82,ProbeF,362,0.3216108369728407,0.30727725746156587,0.15402885769842745,0.20234524722195746,0.42944795383825796,0.30070100794590676,0.291038757930567,0.14208926998695706,0.19974855656014626,0.3981384445091933,272
a61018ce-9b38-4787-ac9e-4ce3bfad0ce4,sub-820454,ecephys-82,ProbeA,273,0.32161484449215805,0.31704160084365435,0.1545884257849324,0.20524162466629858,0.4280960594899404,0.30440047953947774,0.29358798428553995,0.15482764489502293,0.18105839822278846,0.42127752780034444,210
a61018ce-9b38-4787-ac9e-4ce3bfad0ce4,sub-820454,ecephys-82,ProbeB,201,0.39253645959337496,0.37469065241344907,0.19385009657459348,0.2376276107143175,0.5412121348492658,0.31554171097639594,0.312800464443871,0.14048144451613803,0.20748600912240464,0.4171035857096995,161
a61018ce-9b38-4787-ac9e-4ce3bfad0ce4,sub-820454,ecephys-82,ProbeC,237,0.4043521985795006,0.39245413892597664,0.18875487233221144,0.25644624740223565,0.5404156250839788,0.2922096522757026,0.26873798568515894,0.1562653343675959,0.17422407411328586,0.40180952468485065,198
a61018ce-9b38-4787-ac9e-4ce3bfad0ce4,sub-820454,ecephys-82,ProbeD,179,0.37804531221192955,0.3371985268063713,0.19480680770577133,0.23663308446758508,0.516334743117334,0.3094266315026433,0.2898623240753369,0.15409767442436556,0.1846673339701641,0.4369106734175876,144
a61018ce-9b38-4787-ac9e-4ce3bfad0ce4,sub-820454,ecephys-82,ProbeE,314,0.30144119062775543,0.2793821856797213,0.15058171800526787,0.18513841198321868,0.41289664934912595,0.31170305472532533,0.30081267397746775,0.1527763632726063,0.19509231507153574,0.42033431898356277,218
a61018ce-9b38-4787-ac9e-4ce3bfad0ce4,sub-820454,ecephys-82,ProbeF,306,0.31184426997497505,0.29444497665195735,0.15136365909726532,0.20201937622896432,0.42891339378920545,0.3014100364008879,0.29853626752443624,0.14893685332211726,0.19644031351137892,0.3969394116361312,234
292d9622-c9a1-4bee-9383-9726cadb8083,sub-820459,ecephys-82,ProbeA,229,0.3246712880946439,0.30186788640643464,0.16124475192176455,0.1997602045183519,0.4263490956662223,0.2978756886579206,0.28421558396688384,0.1535689525915575,0.18813894003284834,0.39960846706166364,171
292d9622-c9a1-4bee-9383-9726cadb8083,sub-820459,ecephys-82,ProbeB,295,0.35506147766853363,0.3394085778287956,0.1874214365752108,0.19978333098906775,0.4843741324851224,0.32594285130779116,0.31147979213061133,0.1581591466094613,0.21171512295346767,0.43247452255799546,221
292d9622-c9a1-4bee-9383-9726cadb8083,sub-820459,ecephys-82,ProbeC,218,0.3571947014814343,0.31441824247187583,0.18395530397938933,0.20994556531186168,0.4804845346120399,0.304850468265805,0.29758014261529586,0.14583140748052983,0.18549842250000573,0.3992951286718889,172
292d9622-c9a1-4bee-9383-9726cadb8083,sub-820459,ecephys-82,ProbeD,203,0.3793087798250555,0.3662553212746291,0.183586529715426,0.24941079348739698,0.5070551813508903,0.29488397455595317,0.27813920152023525,0.15186408193881204,0.1777543340352657,0.4084605647852244,165
292d9622-c9a1-4bee-9383-9726cadb8083,sub-820459,ecephys-82,ProbeE,220,0.3167660749111575,0.3001060519867136,0.16253694835213517,0.1883881783757067,0.4206391104804164,0.31568253101274746,0.3004196799631318,0.16000720086312786,0.18621068891537615,0.43229419570476274,154
292d9622-c9a1-4bee-9383-9726cadb8083,sub-820459,ecephys-82,ProbeF,206,0.33755806620573625,0.3210735800640954,0.15646260896367817,0.21378564068664,0.4646030808871301,0.30516186824163466,0.28928413993305224,0.14904084547311588,0.18642476742622557,0.3941397062548535,161
